Source;Target;Weight;In index
Davydov Denis Vasil'evich;Leo Tolstoy;1;10
Rajs Kondoliza;Leo Tolstoy;1;1
Rods Sesil' Dzhon;Leo Tolstoy;1;10
Nagrodskaja Evdokija Apollonovna;Leo Tolstoy;1;1
Tadeusz Łomnicki;Leo Tolstoy;1;1
Bers Vjacheslav Andreevich;Leo Tolstoy;1;10
Kukarnikov Andrej Ivanovich;Leo Tolstoy;1;1
Markov Leonid Vasil'evich;Leo Tolstoy;1;1
Verejskij Orest Georgievich;Leo Tolstoy;1;1
Anisimova Galina Aleksandrovna;Leo Tolstoy;1;1
Saltykova Ekaterina Vasil'evna;Leo Tolstoy;1;1
Grigorovich Dmitrij Vasil'evich;Leo Tolstoy;1;10
Mikhail Zharov;Leo Tolstoy;1;1
Roek Konstantsija Frantsevna;Leo Tolstoy;1;1
Leongard Karl;Leo Tolstoy;1;1
Ochirov Bato-Dalaj;Leo Tolstoy;1;1
Ballu Edin;Leo Tolstoy;1;10
Posse Vladimir Aleksandrovich;Leo Tolstoy;1;10
Lavrov Jurij Sergeevich;Leo Tolstoy;1;1
Tolstoj Sergej Sergeevich;Leo Tolstoy;1;10
Savina Marija Gavrilovna;Leo Tolstoy;1;10
Antonov Mihail Ignat'evich;Leo Tolstoy;1;1
Basilashvili Oleg Valerianovich;Leo Tolstoy;1;1
Perper Iosif Ovshievich;Leo Tolstoy;1;10
Fonvizina Natal'ja Dmitrievna;Leo Tolstoy;1;10
Andrianov Vladimir Pavlovich;Leo Tolstoy;1;1
Tolstoj Andrej Ivanovich;Leo Tolstoy;1;10
Mosolova Lidija Vladimirovna;Leo Tolstoy;1;1
Isakova Ljudmila Ivanovna;Leo Tolstoy;1;1
Volkenshtejn Ljudmila Aleksandrovna;Leo Tolstoy;1;10
Leo Tolstoy;Gladkov Aleksandr Konstantinovich;1;1
Leo Tolstoy;Nikolai Alekseevich Nekrasov;1;10
Fikel'mon Dar'ja Fedorovna;Leo Tolstoy;1;1
Kireevskij Nikolaj Vasil'evich;Leo Tolstoy;1;10
Petrova Nina Petrovna;Leo Tolstoy;1;1
Kischenkov Ivan Mihajlovich;Leo Tolstoy;1;10
Vershinin Aleksandr Vladimirovich;Leo Tolstoy;1;1
Shtil' Georgij Antonovich;Leo Tolstoy;1;1
Ivan Alekseyevich Bunin;Leo Tolstoy;1;10
Zhilin Aleksej Dmitrievich;Leo Tolstoy;1;1
Nezhnyj Aleksandr Iosifovich;Leo Tolstoy;1;1
Leo Tolstoy;Grigorovich Dmitrij Vasil'evich;1;10
Fadeeva Elena Alekseevna;Leo Tolstoy;1;1
Inayat Khan;Leo Tolstoy;1;1
Lachinov Nikolaj Aleksandrovich;Leo Tolstoy;1;1
Blagoder Ivan Ivanovich;Leo Tolstoy;1;1
Efremov Oleg Nikolaevich;Leo Tolstoy;1;1
Papazjan Vagram Kamerovich;Leo Tolstoy;1;1
Matveev Mihail Nikolaevich;Leo Tolstoy;1;1
Strahov Adol'f Iosifovich;Leo Tolstoy;1;1
Goddard Dzhon;Leo Tolstoy;1;1
Leo Tolstoy;Stahovich Mihail Aleksandrovich;1;10
Leo Tolstoy;Mejerhol'd Vsevolod Emil'evich;1;10
Zdzehovskij Marian;Leo Tolstoy;1;1
Men'shikov Mihail Osipovich;Leo Tolstoy;1;10
