Source;Target;Weight;
Свободин, Николай Капитонович;Tolstoy;1;
Харченко, Сергей Васильевич;Tolstoy;1;
Tolstoy;Romain Rolland;1;
Варпаховская, Анна Леонидовна;Tolstoy;1;
Альфано, Франко;Tolstoy;1;
Бенмюсса, Симона;Tolstoy;1;
Nikolai Leskov;Tolstoy;1;
Розен, Андрей Евгеньевич;Tolstoy;1;
Цингер, Александр Васильевич;Tolstoy;2;
Tolstoy;Толстая, Софья Андреевна;1;
Мэллори, Люси;Tolstoy;1;
Армфельд, Наталья Александровна;Tolstoy;1;
Филиппов, Михаил Михайлович;Tolstoy;1;
Мейер, Дмитрий Иванович;Tolstoy;1;
Низовой, Виктор Алексеевич;Tolstoy;1;
Орлов, Николай Васильевич (художник);Tolstoy;1;
Еланская, Клавдия Николаевна;Tolstoy;1;
Горнфельд, Аркадий Георгиевич;Tolstoy;1;
Бирюков, Павел Иванович;Tolstoy;1;
Коржев, Иван Владимирович;Tolstoy;1;
Читати, Пьетро;Tolstoy;1;
Лукин, Виктор Дмитриевич;Tolstoy;1;
Лопато, Людмила Ильинична;Tolstoy;1;
Перле, Рудольф;Tolstoy;1;
Градополов, Константин Константинович;Tolstoy;1;
Де Местр, Жозеф;Tolstoy;1;
Виктюк, Роман Григорьевич;Tolstoy;1;
Яначек, Леош;Tolstoy;1;
Горин-Горяйнов, Борис Анатольевич;Tolstoy;1;
Панков, Павел Петрович;Tolstoy;1;
Станицын, Виктор Яковлевич;Tolstoy;1;
Креслиньш, Освальд;Tolstoy;1;
Максакова, Людмила Васильевна;Tolstoy;1;
Бромфилд, Эндрю;Tolstoy;1;
Комашко, Алексей Александрович;Tolstoy;1;
Мартынов, Николай Авенирович;Tolstoy;1;
Фофанов, Константин Михайлович;Tolstoy;1;
Митропольский, Иван Иванович;Tolstoy;1;
Tolstoy;Аксаков, Константин Сергеевич;1;
Tolstoy;Боткин, Василий Петрович;1;
Тихонравов, Николай Саввич;Tolstoy;1;
Тизенгаузен, Фёдор Иванович;Tolstoy;1;
Valentin Fyodorovich Bulgakov;Tolstoy;2;
Бурыгина, Юлия Ивановна;Tolstoy;1;
Бероев, Егор Вадимович;Tolstoy;1;
Куросава, Акира;Tolstoy;1;
Герасимов, Сергей Аполлинариевич;Tolstoy;1;
Давидит, Ривка;Tolstoy;1;
Осмоловская, Зоя Васильевна;Tolstoy;1;
Орлов, Дмитрий Николаевич;Tolstoy;1;
Плетнёв, Александр Борисович;Tolstoy;1;
Королицкий, Марк Самойлович;Tolstoy;1;
Степурина, Дора Фёдоровна;Tolstoy;1;
